Species,Genus,Family,SuperFamily,Order,Class,Major,J_per_mgWM,Mobility_code,Food_code
Ophiura sarsi,Ophiura,Ophiuridae,Ophiurida,Ophiuroidea,Ophiuroidea,Echinodermata,,1.0,2.0
Dissostichus mawsonia,Dissostichus,Nototheniidae,Perciformes,Acanthopterygii,Teleostei,Osteichthyes,9.4,3.0,3.0
Lepidonotothen squamifrons,Lepidonotothen,Nototheniidae,Perciformes,Acanthopterygii,Teleostei,Osteichthyes,4.0,3.0,3.0
Pagothenia borchgrevinki,Pagothenia,Nototheniidae,Perciformes,Acanthopterygii,Teleostei,Osteichthyes,5.6,3.0,3.0
Pagothenia borchgrevinki,Pagothenia,Nototheniidae,Perciformes,Acanthopterygii,Teleostei,Osteichthyes,5.3,3.0,3.0
Pagothenia borchgrevinki,Pagothenia,Nototheniidae,Perciformes,Acanthopterygii,Teleostei,Osteichthyes,5.7,3.0,3.0
Pleuragramma antarcticum,Pleuragramma,Nototheniidae,Perciformes,Acanthopterygii,Teleostei,Osteichthyes,5.0,3.0,3.0
Trematomus bernacchii,Trematomus,Nototheniidae,Perciformes,Acanthopterygii,Teleostei,Osteichthyes,4.7,3.0,3.0
Trematomus bernacchii,Trematomus,Nototheniidae,Perciformes,Acanthopterygii,Teleostei,Osteichthyes,5.0,3.0,3.0
Trematomus bernacchii,Trematomus,Nototheniidae,Perciformes,Acanthopterygii,Teleostei,Osteichthyes,5.5,3.0,3.0
Trematomus eulepidotus ,Trematomus,Nototheniidae,Perciformes,Acanthopterygii,Teleostei,Osteichthyes,5.7,3.0,3.0
Trematomus hansoni,Trematomus,Nototheniidae,Perciformes,Acanthopterygii,Teleostei,Osteichthyes,5.4,3.0,3.0
Trematomus lepidorhinus,Trematomus,Nototheniidae,Perciformes,Acanthopterygii,Teleostei,Osteichthyes,7.7,3.0,3.0
Trematomus pennellii,Trematomus,Nototheniidae,Perciformes,Acanthopterygii,Teleostei,Osteichthyes,4.6,3.0,3.0
Trematomus scotti,Trematomus,Nototheniidae,Perciformes,Acanthopterygii,Teleostei,Osteichthyes,4.0,3.0,3.0
Electrona antarctica,Electrona,Bathylagidae,Osmeriformes,Protacanthopterygii,Teleostei,Osteichthyes,9.0,3.0,3.0
Electrona carlsbergi,Electrona,Bathylagidae,Osmeriformes,Protacanthopterygii,Teleostei,Osteichthyes,6.1,3.0,3.0
Gymnoscopelus braueri,Gymnoscopelus,Bathylagidae,Osmeriformes,Protacanthopterygii,Teleostei,Osteichthyes,9.3,3.0,3.0
Gymnoscopelus nicholsi,Gymnoscopelus,Bathylagidae,Osmeriformes,Protacanthopterygii,Teleostei,Osteichthyes,10.3,3.0,3.0
Bathylagus antarcticus,Bathylagus,Bathylagidae,Osmeriformes,Protacanthopterygii,Teleostei,Osteichthyes,2.9,3.0,3.0
Scomber scombrus,Scomber,Scombridae,Perciformes,Acanthopterygii,Teleostei,Osteichthyes,,3.0,3.0
Trachurus trachurus,Trachurus,Carangidae,Perciformes,Acanthopterygii,Teleostei,Osteichthyes,,3.0,3.0
Micropogonias furnieri,Micropogonias,Sciaenidae,Perciformes,Acanthopterygii,Teleostei,Osteichthyes,,3.0,3.0
Sardinella aurita,Sardinella,Clupeidae,Clupeiformes,Clupeomorpha,Teleostei,Osteichthyes,,3.0,3.0
Clarias gariepinus,Clarias,Clariidae,Siluriformes,Ostariophysi,Teleostei,Osteichthyes,,3.0,3.0
