ScientificName,AreaID,Year,SampleID,flagged_density,typical_density,robust_z,was_dropped
Antedon mediterranea,6,2012,ESP_6_COR_2012_119_5_25,0.115786640831046,7.52686148693149e-05,1350.11572915801,FALSE
Molgula spp.,6,2014,ESP_6_MOL_2014_163_6_2,2.08903287736981,0.000627424960875445,1334.41410104646,FALSE
Glossanodon leioglossus,6,2008,ESP_6_COR_2008_69_5_22,4.22375721399701,0.000917810349368971,1309.26740960844,FALSE
Ocnus planci,1,2019,ESP_1_MOL_2019_14_5_1,0.809369212936238,0.000372647705089385,1277.44267121145,FALSE
Benthosema glaciale,1,1999,ESP_1_COR_1999_2_5_4,0.315852324906798,0.00020348813168964,1264.40730350056,FALSE
Plesionika narval,6,1998,ESP_6_COR_1998_77_5_28,0.248491816195375,0.000239463808328515,1260.94501021044,FALSE
Xenophora crispa,6,2015,ESP_6_MOL_2015_159_6_1,2.85189280874026,0.000872529846171111,1249.82911805691,FALSE
Meganyctiphanes norvegica,1,1998,ESP_1_COR_1998_1_5_3,1.80133331504634,0.00104855031208632,1238.51827361829,FALSE
Leptometra phalangium,6,2013,ESP_6_COR_2013_109_6_5,0.929567393636038,0.000389777734978654,1205.46511142479,FALSE
Turritella spp.,6,1995,ESP_6_COR_1995_93_5_18,0.117081379496471,8.48442683454519e-05,1154.82113881965,FALSE
Glossanodon leioglossus,6,2020,ESP_6_MOL_2020_6_5_31,3.29603118719011,0.000917810349368971,1154.33490635199,FALSE
Molgula spp.,7,2013,FRA_7_LEU_2013_59_6_14,3.58462150146387,0.00121270919233568,1147.99233391685,FALSE
Leptometra phalangium,6,2016,ESP_6_MOL_2016_140_5_28,0.85471040400429,0.000389777734978654,1132.85663378843,FALSE
Antedon spp.,7,2013,FRA_7_LEU_2013_40_6_9,0.32148946652235,0.000203592272542189,1127.80834897432,FALSE
Glossanodon leioglossus,6,2009,ESP_6_COR_2009_63_4_24,3.12012443822078,0.000917810349368971,1121.20642156884,FALSE
Maurolicus muelleri,1,1999,ESP_1_COR_1999_2_5_4,1.53763142864916,0.000675115295152837,1120.45283027906,FALSE
Crystallogobius linearis,6,1999,ESP_6_COR_1999_117_6_3,0.0257187233921119,0.000142795871678836,1110.32763092766,FALSE
Leptometra phalangium,6,2015,ESP_6_MOL_2015_134_5_27,0.809064961263601,0.000389777734978654,1087.12966794174,FALSE
Leptometra phalangium,6,2016,ESP_6_MOL_2016_138_5_28,0.790471215129036,0.000389777734978654,1068.17109929249,FALSE
Glossanodon leioglossus,6,2018,ESP_6_MOL_2018_125_5_30,2.8169750289956,0.000917810349368971,1060.64782641359,FALSE
Microcosmus sabatieri,8,1999,FRA_8_LEU_1999_17_5_9,0.755492355642604,0.0008471435378832,1045.78282333659,FALSE
Glossanodon leioglossus,6,2019,ESP_6_MOL_2019_167_6_7,2.65910100902231,0.000917810349368971,1027.1766404205,FALSE
Plesionika narval,6,2002,ESP_6_COR_2002_75_5_30,0.196984450789043,0.000239463808328515,1021.31745556577,FALSE
Hymenocephalus italicus,1,2004,ESP_1_COR_2004_8_5_7,0.629634409626085,0.000450685698515458,1017.7366831211,FALSE
Pasiphaea sivado,5,2007,ESP_5_COR_2007_82_6_7,0.826701316095691,0.000528464107325564,1002.55213427257,FALSE
Ophiura ophiura,10,2018,ITA_10_SAN_2018_57_7_16,0.328843523097969,0.000309895694802408,966.793751596454,FALSE
Leptometra phalangium,6,2014,ESP_6_MOL_2014_136_5_27,0.689569834413247,0.000389777734978654,961.728415941401,FALSE
Glossanodon leioglossus,6,2020,ESP_6_MOL_2020_35_6_6,2.33304898604682,0.000917810349368971,953.222784857989,FALSE
Meganyctiphanes norvegica,6,2001,ESP_6_COR_2001_98_6_7,1.04345769524639,0.000994311173877226,953.096467260706,FALSE
Eusergestes arcticus,1,1999,ESP_1_COR_1999_21_5_9,0.617268521853854,0.000463006562747622,942.766097569505,FALSE
Alepocephalus rostratus,6,2005,ESP_6_COR_2005_60_5_23,0.693987873475053,0.000397009197379739,934.379285536123,FALSE
Microcosmus vulgaris,6,2016,ESP_6_MOL_2016_172_6_4,3.54462051709758,0.001563303507148,909.837082954512,FALSE
Leptometra phalangium,6,2021,ESP_6_MOL_2021_128_5_27,0.63223368526457,0.000389777734978654,898.373686098907,FALSE
Crystallogobius linearis,6,1999,ESP_6_COR_1999_108_6_1,0.0207464467752932,0.000142795871678836,896.650416329294,FALSE
Glossanodon leioglossus,6,2017,ESP_6_MOL_2017_100_5_19,2.08390513573024,0.000917810349368971,891.661286659069,FALSE
Glossanodon leioglossus,6,2017,ESP_6_MOL_2017_105_5_20,2.07788742989244,0.000917810349368971,890.113562387066,FALSE
Eusergestes arcticus,1,2005,ESP_1_COR_2005_8_5_11,0.573689761427671,0.000463006562747622,889.146436905148,FALSE
Glossanodon leioglossus,6,2021,ESP_6_MOL_2021_100_5_21,1.99284625130716,0.000917810349368971,867.911870335475,FALSE
Leptometra phalangium,6,2021,ESP_6_MOL_2021_136_5_28,0.598315972759776,0.000389777734978654,859.839390908158,FALSE
Cyclothone spp.,6,2021,ESP_6_MOL_2021_153_6_1,0.0356389957150178,8.46565365703063e-05,845.978224410759,FALSE
Glossanodon leioglossus,6,2000,ESP_6_COR_2000_87_6_17,1.90096306656869,0.000917810349368971,843.203464781901,FALSE
Pasiphaea sivado,5,2015,ESP_5_MOL_2015_206_6_13,0.640183685729895,0.000528464107325564,823.18106601979,FALSE
Cnidaria,6,2015,ESP_6_MOL_2015_172_6_4,0.820819351492878,0.000662491170317682,821.559193119165,FALSE
Glossanodon leioglossus,6,2005,ESP_6_COR_2005_51_5_21,1.82178559565321,0.000917810349368971,821.275706189437,FALSE
Turritella communis,1,2015,ESP_1_MOL_2015_15_4_26,0.151231096112986,0.000221067794225695,792.837586417861,FALSE
Argentina sphyraena,1,2016,ESP_1_MOL_2016_70_5_10,4.61706719354583,0.001959840267666,770.561916910226,FALSE
