Stratum,area_km2,prop,AreaID
1,825.929406649014,0.0699248039703713,1
2,1593.40601437522,0.134900879304502,1
3,991.840111251579,0.0839711297247594,1
4,8400.50444038424,0.711203187000367,1
1,9.95140774380108,0.013468297965515,2
2,121.862919518074,0.164930043394049,2
3,134.337480044447,0.181813192239267,2
4,472.724609690187,0.639788466401169,2
1,1821.86091991817,0.0788667660063232,5
2,4621.91585177659,0.200078695359112,5
3,4232.98509762472,0.183242223131729,5
4,12423.7278828798,0.537812315502836,5
1,4808.6684721773,0.143957471641854,6
2,11642.7138023474,0.348548803423072,6
3,7009.17448670607,0.209834186582201,6
4,9942.83951500131,0.297659538352873,6
1,3088.73753928846,0.179561237104889,7
2,6895.98904302617,0.400892697381076,7
3,3368.09994068318,0.195801742410686,7
4,3848.75656413701,0.22374432310335,7
1,847.486491570392,0.101144297752362,8
2,1845.87603165653,0.220298301880731,8
3,1273.7378493161,0.15201578027628,8
4,4411.88401316453,0.526541620090628,8
1,3489.20951920982,0.116288324957172,9
2,4087.58506427292,0.13623097656569,9
3,7572.48069282636,0.252375528236759,9
4,14855.5383668047,0.495105170240379,9
1,1712.99129226533,0.0624964107321178,10
2,2766.12055709984,0.100918555308272,10
3,4577.30883030001,0.166997563850938,10
4,18353.0140734413,0.669587470108673,10
1,2950.65016526564,0.12501037629354,11
2,4393.02279341256,0.186119465782607,11
3,5995.83691771219,0.254025989967,11
4,10263.7321323942,0.434844167956853,11
