FG_num,FG_name,Biomass (t/km2),PB (year-1),QB (year-1)
1,,0.08,0.0839595897557875,9.99332917614918
6,,0.015,0.0838684733240278,11.0123718141949
8,,0.02,0.30843503067269,57.4912647980286
19,,3.5,0.768,8.01157660880204
22,,2.1,0.638,8.1903043439929
30,,1.8,0.395666666666667,3.77984120811084
35,,1,0.8442,7.29172528252733
40,,0.3,0.464,6.7028761541798
50,,0.9,1.13822222222222,7.32444460510958
60,,0.4,0.344532607772666,1.033597823318
67,,0.35,,
71,,0.5,,
75,,0.6,,
